system:index,date,radiance,.geo
77,2020-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2020-07,19.138790080439538,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2020-08,15.352073776188952,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2020-09,15.664166733722762,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2020-10,14.847076375246344,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2020-11,15.74369597828653,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2020-12,14.864130077822567,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2021-01,15.837442929956572,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2021-02,18.474571567976394,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2021-03,16.16559286025597,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2021-04,17.44144817462731,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2021-05,18.543833300007705,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2021-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2021-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2021-08,14.810832423862415,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2021-09,15.574005965288032,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2021-10,15.48290076749039,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2021-11,13.923883914761547,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2021-12,16.2435837098648,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2022-01,14.657389698469174,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2022-02,16.508470545521668,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2022-03,18.67581107095489,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2022-04,18.07201280276134,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2022-05,18.91289729076003,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2022-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2022-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2022-08,15.618324581800914,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2022-09,14.860918150510527,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2022-10,14.534157936364196,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2022-11,15.3111436623596,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2022-12,14.609226849927548,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2023-01,14.8571608785261,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2023-02,16.42463052431227,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2023-03,15.550836602127866,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2023-04,17.157966041545208,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2023-05,15.600581393453545,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2023-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2023-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2023-08,15.3154611428198,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2023-09,15.242710197449455,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2023-10,14.105383366502894,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2023-11,15.97315729881175,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2023-12,19.54499654142407,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2024-01,19.504690226971633,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2024-02,15.509217777362936,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2024-03,16.892299366861508,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2024-04,15.972691454147785,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2024-05,16.32572885527923,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2024-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2024-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2024-08,15.922001922925006,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2024-09,15.518403303206872,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2024-10,15.524193871581053,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2024-11,14.068834752629678,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2024-12,12.270693621592578,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2025-01,15.091653089187966,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2025-02,19.415334072051465,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2025-03,18.45922236994749,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2025-04,17.734737518568167,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2025-05,17.65397991666207,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2025-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2025-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2025-08,16.920934792544188,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2025-09,15.717693106898313,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2025-10,14.787915231687423,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2025-11,16.0184526903232,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2025-12,14.898824883939046,"{""type"":""MultiPoint"",""coordinates"":[]}"
